,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
250,2224903,0.67,False,Oud-Oost,52.34,4.914,Entire home/apt,4,2,2,9,225.0,3,3,True,0,1,4.13,False,56.25,675.0,0.08,0.14,0.25,4.99,0.4794520547945205,1105.4109589041095
251,2235708,0.68,False,De Pijp - Rivierenbuurt,52.34,4.9,Entire home/apt,2,1,1,4,139.0,6,100,True,0,0,4.81,False,69.5,834.0,0.07,0.12,0.21,4.99,0.024657534246575342,886.7808219178082
252,2255109,0.91,False,Oostelijk Havengebied - Indische Buurt,52.38,4.945,Entire home/apt,4,2,2,6,231.0,3,101,True,0,0,4.75,False,57.75,693.0,0.11,0.27,0.23,4.99,0.01643835616438356,1180.5479452054794
253,2344785,1.0,True,De Baarsjes - Oud-West,52.38,4.88,Private room,4,1,1,7,240.0,3,-23,True,2,4,4.89,False,60.0,720.0,0.08,0.12,0.22,4.99,0.3698630136986301,1075.7808219178082
254,2368869,0.6,False,Centrum-West,52.38,4.887,Entire home/apt,4,2,2,4,250.0,3,30,True,0,0,4.82,True,62.5,750.0,0.11,0.26,0.25,4.99,0.010958904109589041,1311.6438356164383
255,2376883,0.0,False,Centrum-West,52.38,4.883,Private room,2,1,1,11,179.0,3,7,True,0,0,5.0,True,89.5,537.0,0.07,0.19,0.16,4.99,0.3041095890410959,906.3698630136986
256,2384332,0.64,False,Centrum-West,52.38,4.887,Entire home/apt,3,2,2,13,300.0,3,30,True,0,0,4.96,False,100.0,900.0,0.1,0.3,0.13,4.99,0.03287671232876712,1500.0
257,2388275,1.0,False,De Baarsjes - Oud-West,52.38,4.85,Entire home/apt,2,1,1,10,250.0,3,30,True,3,0,4.8,False,125.0,750.0,0.1,0.13,0.3,4.99,0.0273972602739726,1250.0
258,2400486,0.73,False,Slotervaart,52.34,4.832,Entire home/apt,2,1,1,4,130.0,4,7,True,0,2,4.89,False,65.0,520.0,0.09,0.16,0.2,4.99,0.4423076923076923,650.0
259,2435572,0.88,True,Centrum-West,52.38,4.887,Private room,2,1,1,4,125.0,3,30,True,4,7,4.79,False,62.5,375.0,0.07,0.18,0.12,4.99,0.8657534246575342,518.4520547945206
